160|0.9781|0.1|0.1
450|0.9816|0.0035|0.1035
40|0.9687|-0.0101|0.0934
90|0.9765|-0.00028|0.09312
220|0.9797|0.00298|0.0961
30|0.9631|-0.01422|0.08188
580|0.9817|0.00722|0.0891
470|0.982|0.00608|0.09518
410|0.9813|0.00416|0.09934
160|0.9779|-7e-05|0.09928
710|0.983|0.00504|0.10432
420|0.9813|0.00234|0.10666
50|0.9689|-0.01053|0.09613
610|0.9821|0.00477|0.1009
160|0.9798|0.00152|0.10242
280|0.9805|0.00192|0.10434
140|0.9795|0.00053|0.10487
740|0.9837|0.00463|0.1095
380|0.9814|0.0014|0.1109
360|0.9816|0.00132|0.11222
530|0.9831|0.00256|0.11477
160|0.9804|-0.00065|0.11412
100|0.9769|-0.00402|0.1101
660|0.9829|0.00278|0.11288
600|0.9824|0.00172|0.1146
60|0.9747|-0.00632|0.10828
230|0.9798|4e-05|0.10832
190|0.9809|0.00114|0.10946
280|0.9787|-0.00129|0.10817
